augmentation,classifier,accuracy,accuracy_ci,auc_roc,auc_roc_ci,f1,recall,precision
random_over,random_forest,91.27,3.03,93.92,4.21,95.01,95.19,94.9
random_under,logistic_regression,85.14,4.56,93.7,3.31,90.74,84.44,98.28
smote,random_forest,90.3,2.95,93.53,4.67,94.49,95.56,93.49
smote,logistic_regression,88.68,3.67,93.51,3.19,93.31,91.48,95.44
kmeans_smote,logistic_regression,90.63,3.26,93.51,2.84,94.45,92.22,96.89
kmeans_smote,random_forest,91.27,2.6,93.46,5.02,95.02,95.93,94.2
random_over,logistic_regression,85.77,4.11,93.29,3.94,91.38,87.04,96.28
smote_enn,logistic_regression,88.04,4.13,93.16,3.56,92.75,88.89,97.18
borderline_smote,random_forest,91.6,3.26,92.84,5.85,95.19,95.93,94.53
adasyn,logistic_regression,87.08,4.54,92.69,5.11,92.21,88.52,96.34
random_under,svm,84.17,4.29,92.61,3.68,90.24,84.44,97.02
adasyn,random_forest,91.6,2.41,92.46,5.92,95.21,95.93,94.55
random_under,random_forest,84.16,2.97,92.18,3.08,90.25,84.44,97.1
smote_enn,svm,89.01,3.82,92.06,3.58,93.55,91.85,95.38
random_over,svm,89.66,3.28,92.0,4.74,93.91,91.48,96.52
kmeans_smote,svm,91.27,2.1,91.81,3.42,94.98,94.81,95.18
smote,svm,90.95,2.61,91.77,5.0,94.76,93.7,95.84
borderline_smote,logistic_regression,87.39,3.37,91.62,6.02,92.5,90.0,95.38
borderline_smote,svm,89.98,2.86,91.46,5.25,94.17,92.96,95.43
smote_enn,random_forest,88.69,4.63,91.27,2.97,93.33,91.48,95.37
smote,knn,86.11,4.22,91.12,4.83,91.43,85.93,97.94
adasyn,svm,90.3,2.95,91.02,5.57,94.35,92.96,95.8
smote_enn,mlp,88.68,2.94,90.97,4.79,93.23,90.0,96.87
adasyn,knn,85.14,4.2,90.82,4.99,90.82,84.81,97.84
random_under,mlp,85.79,3.7,90.67,4.56,91.15,84.44,99.11
borderline_smote,knn,85.15,5.22,90.58,5.71,90.75,84.81,97.92
adasyn,xgboost,90.95,3.03,90.57,6.13,94.81,95.19,94.5
random_under,lightgbm,83.2,6.4,90.53,4.25,89.41,83.33,97.0
borderline_smote,xgboost,91.59,3.01,90.01,7.84,95.17,95.19,95.23
adasyn,mlp,91.27,3.4,89.91,7.78,94.97,94.44,95.53
smote,mlp,91.27,2.9,89.87,7.52,94.96,94.44,95.52
kmeans_smote,mlp,90.95,2.61,89.7,8.3,94.77,94.07,95.49
borderline_smote,mlp,89.97,2.88,89.61,7.73,94.25,94.07,94.48
random_over,xgboost,90.62,4.13,89.6,8.24,94.6,94.44,94.8
random_under,xgboost,82.55,5.86,89.43,5.59,88.99,81.85,97.74
smote,xgboost,90.94,3.04,89.24,8.22,94.82,95.19,94.55
kmeans_smote,xgboost,90.94,3.64,89.24,7.95,94.78,94.81,94.82
smote,lightgbm,90.95,2.61,89.17,9.07,94.82,95.19,94.5
kmeans_smote,knn,87.07,3.19,89.02,5.58,92.23,88.89,96.06
random_over,mlp,90.63,3.38,89.0,7.63,94.6,94.44,94.84
smote_enn,knn,83.84,5.48,88.92,3.44,89.91,84.07,97.07
random_over,lightgbm,89.66,3.63,88.9,8.3,94.08,94.07,94.17
adasyn,lightgbm,90.3,3.34,88.9,8.01,94.44,94.44,94.55
kmeans_smote,lightgbm,90.95,3.63,88.86,9.3,94.83,95.56,94.2
random_over,knn,86.11,4.13,88.63,5.78,91.49,86.3,97.52
smote_enn,xgboost,86.75,5.3,88.54,4.82,92.08,89.26,95.24
smote_enn,lightgbm,86.43,5.08,88.3,4.33,91.87,88.89,95.24
random_under,knn,79.63,5.22,87.94,2.69,87.02,79.63,96.5
borderline_smote,lightgbm,90.62,3.13,87.71,9.04,94.63,94.81,94.52
