Feature,Baseline Acc,Acc Under Perturbation,Acc Variance,Prediction Change Rate
SMOKING,90.3%,90.2%,0.0082%,0.6%
YELLOW_FINGERS,90.3%,90.0%,0.0198%,1.1%
ANXIETY,90.3%,90.6%,0.0035%,0.3%
PEER_PRESSURE,90.3%,91.2%,0.0127%,0.9%
CHRONIC_DISEASE,90.3%,90.4%,0.0229%,2.0%
FATIGUE,90.3%,90.9%,0.0112%,1.0%
ALLERGY,90.3%,88.1%,0.0507%,3.4%
WHEEZING,90.3%,90.3%,0.0354%,2.1%
ALCOHOL_CONSUMING,90.3%,90.1%,0.0111%,0.9%
COUGHING,90.3%,90.0%,0.0042%,0.3%
SHORTNESS_OF_BREATH,90.3%,90.8%,0.0223%,1.5%
SWALLOWING_DIFFICULTY,90.3%,89.8%,0.0221%,1.3%
CHEST_PAIN,90.3%,90.7%,0.0112%,1.2%
